,logFC,AveExpr,t,P.Value,adj.P.Val,B
ESM1,3.74505638469952,2.21389042975973,18.8255842032121,1.17570685461397e-66,6.43052864131113e-62,140.705174767501
TEAD4,1.84528694151656,4.55634058033181,17.6195601591332,1.02717778390998e-59,2.80907444454781e-55,124.897361884362
MTHFD1L,1.97375022013652,5.14848532562929,17.304572457203,6.16029811898723e-58,1.12312501872669e-53,120.848570157457
KIF18B,2.48672009823501,4.34717257242563,16.8600726948321,1.87030613061999e-55,2.55740984535651e-51,115.196068723373
NOP2,1.48240610734723,5.76166117963387,16.2834140547026,2.77489950978044e-52,3.03546257374883e-48,107.975166675136
TROAP,2.33052117354124,4.36341971773455,16.2353785721901,5.06778146834288e-52,4.61970512351689e-48,107.379624646873
TRIP13,2.2288622779305,4.35210432916476,16.0583359366356,4.62724376527902e-51,3.61552996774194e-47,105.192808410522
MYBL2,2.79154919205617,6.30678449112128,16.0332420886132,6.32421228132818e-51,4.32378488409056e-47,104.883898499574
KIF20A,2.17012242533496,4.50970611235698,15.9984442737808,9.74924837559076e-51,5.92483488781041e-47,104.455965016274
PKMYT1,2.55372474049663,4.52685363770023,15.9743495777809,1.31520152742831e-50,7.12264655763558e-47,104.159951843693
HJURP,2.41826056150097,4.21674440784668,15.9674719205401,1.43247302557805e-50,7.12264655763558e-47,104.075501626811
CST1,6.08780459054513,3.24716448737986,15.8373214171053,7.18464557274947e-50,3.27470158001277e-46,102.481150516319
TPX2,2.38864873394158,6.5748061576659,15.7769268864517,1.5146555153192e-49,6.37262180079874e-46,101.743755623662
WNT2,4.01197848610464,2.10812637268535,15.7499022665595,2.11364621373957e-49,8.25756283289183e-46,101.41430019063
GABRD,2.63873389233588,0.399173668360412,15.7238672664484,2.91287555512763e-49,1.06213152325137e-45,101.097205754984
RCC2,1.3277305161446,7.46398247482838,15.5561328936631,2.28375656585331e-48,7.80687908558417e-45,99.0613115187075
COLGALT1,1.3078991062441,6.94270059954233,15.4712953099837,6.44089643193113e-48,2.07226370790867e-44,98.0362696589654
UBE2T,1.9801288982249,4.35446245713959,15.3037382404251,4.94548386628566e-47,1.50274022259163e-43,96.0211594614362
GTSE1,2.10109657325627,4.11535012528604,15.2594453217227,8.45877228216953e-47,2.43501342091191e-43,95.4905779775991
UBE2C,2.56364457666904,5.91208428283753,15.2130637773396,1.48246085950292e-46,4.05415983552562e-43,94.9359282201575
NEK2,2.33367338264634,4.3117389351373,15.2084627453603,1.56722953691646e-46,4.08188664388788e-43,94.8809604001768
RECQL4,2.34105723839786,4.95794811946911,15.1486892699923,3.22465330272543e-46,8.01692783602579e-43,94.1677324218907
E2F1,2.02743799183233,4.60403555606407,15.1131220684311,4.94993316709899e-46,1.16154194557351e-42,93.7441132115273
TEDC2,2.26966518230758,2.54033910271167,15.1106934686161,5.09681080423516e-46,1.16154194557351e-42,93.7152088060043
LRFN4,2.09156182624503,5.0330422798627,15.1025657653358,5.62069199161659e-46,1.22969499392588e-42,93.6184952323515
NFE2L3,2.35458751763841,6.32877856864989,15.0952978713199,6.13443848644869e-46,1.2904735116012e-42,93.5320384627831
BUB1,2.12772984337784,5.04961757402746,15.0571770395983,9.70144853236819e-46,1.96526195362177e-42,93.078962478041
SMYD5,1.15444822170386,5.09764767391304,15.0504477560641,1.05183026619932e-45,2.05463772892043e-42,92.9990528173471
KIF2C,2.00520183159516,4.88500100343249,14.9480474569139,3.58985170387007e-45,6.77058410148874e-42,91.7856489234331
HSP90AB1,1.19073433927793,10.3438434313501,14.8377993986146,1.33869396459537e-44,2.44066221311812e-41,90.4847280700077
PLK1,2.03587573333487,5.78276487391304,14.8091475702199,1.88288981037512e-44,3.32208574769249e-41,90.1475752799356
CDCA5,2.30008917403923,4.90642472866476,14.7939529738898,2.25589852443072e-44,3.85582405605431e-41,89.9689345983079
NOL6,1.22608485999586,6.09249828947368,14.784929261615,2.51138402473951e-44,4.11185218144239e-41,89.8628959332097
BYSL,1.60856747080183,4.5432988180778,14.7834462893534,2.55604669840098e-44,4.11185218144239e-41,89.8454730560304
DHX37,1.27867106738217,5.2113631590389,14.7764388941207,2.77803316335795e-44,4.34127211056752e-41,89.7631599623516
KIF23,1.91829971236159,4.58675038083524,14.7713135354642,2.95247013489455e-44,4.43687142991076e-41,89.7029691797884
NUF2,2.21589275104911,3.67127551464531,14.769928646559,3.0014488144565e-44,4.43687142991076e-41,89.6867075736869
WDR62,1.98282447113943,3.83381235419908,14.7058454901809,6.42003346677509e-44,9.24062448592798e-41,88.9352315487212
PAQR4,1.86870222088801,4.6819589479405,14.6838910705901,8.32658916109774e-44,1.16775075427241e-40,88.6782327048187
ACAN,3.02739481365799,2.78024457171625,14.6816412622981,8.55133840767517e-44,1.16928863551948e-40,88.6519094567604
EXO1,2.16479689648588,3.46607011728833,14.6549466530076,1.17273146003555e-43,1.56445237089376e-40,88.3397621759497
EME1,1.96237892072087,1.90155983764645,14.6442281467154,1.33116337003938e-43,1.73352334581677e-40,88.214524173436
PACC1,1.33497201911153,3.1835238194508,14.6215391565348,1.74038607655386e-43,2.2137306152817e-40,87.9496022678521
IQGAP3,2.1952858414244,5.76813724933638,14.6002504137846,2.23757220614336e-43,2.78145481397753e-40,87.7012558663958
